type,amount,oldbalanceOrg,newbalanceOrig,isFraud
TRANSFER,622711.28,7043.0,0.0,0
TRANSFER,6545346.16,6545346.16,0.0,1
TRANSFER,1416055.74,1416055.74,0.0,1
CASH_OUT,145239.38,0.0,0.0,0
CASH_OUT,678058.75,678058.75,0.0,1
CASH_OUT,854550.85,854550.85,0.0,1
CASH_OUT,49453.29,20598.0,0.0,0
PAYMENT,11216.71,0.0,0.0,0
CASH_IN,58877.62,9107850.3,9166727.91,0
TRANSFER,1244037.74,1244037.74,0.0,1
TRANSFER,31074.0,31074.0,0.0,1
CASH_OUT,79446.06,79446.06,0.0,1
TRANSFER,1732090.28,1732090.28,0.0,1
CASH_OUT,81517.36,80013.0,0.0,0
CASH_OUT,15077.43,110059.0,94981.57,0
CASH_OUT,113390.99,0.0,0.0,0
TRANSFER,2319926.01,2319926.01,0.0,1
TRANSFER,362335.05,362335.05,0.0,1
CASH_OUT,92629.99,24288.0,0.0,0
CASH_OUT,7484125.12,7484125.12,0.0,1
TRANSFER,227349.18,227349.18,0.0,1
PAYMENT,16707.46,138850.0,122142.54,0
CASH_OUT,229947.24,195.0,0.0,0
TRANSFER,254528.76,254528.76,0.0,1
CASH_OUT,113336.41,113336.41,0.0,1
PAYMENT,5296.79,0.0,0.0,0
TRANSFER,168622.3,168622.3,0.0,1
CASH_OUT,684796.16,684796.16,0.0,1
TRANSFER,14206.82,14206.82,0.0,1
TRANSFER,739856.92,739856.92,0.0,1
CASH_OUT,89631.24,89631.24,0.0,1
CASH_OUT,261167.87,10002.0,0.0,0
PAYMENT,1571.91,0.0,0.0,0
CASH_OUT,595558.89,595558.89,0.0,1
CASH_OUT,73486.8,73486.8,0.0,1
CASH_OUT,123110.38,0.0,0.0,0
CASH_IN,105710.98,30387.0,136097.98,0
CASH_OUT,1933121.35,1933121.35,0.0,1
CASH_OUT,354441.19,354441.19,0.0,1
PAYMENT,1380.49,0.0,0.0,0
TRANSFER,165547.54,165547.54,0.0,1
CASH_OUT,88748.63,88748.63,0.0,1
CASH_OUT,426924.68,13328.0,0.0,0
TRANSFER,2694857.26,2694857.26,0.0,1
TRANSFER,160186.79,160186.79,0.0,1
TRANSFER,283429.1,283429.1,0.0,1
CASH_IN,141285.59,202642.0,343927.59,0
TRANSFER,1554022.05,0.0,0.0,0
TRANSFER,10000000.0,34892193.09,24892193.09,1
DEBIT,2165.22,34647.0,32481.78,0
PAYMENT,3893.98,58121.0,54227.02,0
CASH_OUT,92881.03,0.0,0.0,0
PAYMENT,2507.62,21545.0,19037.38,0
TRANSFER,1917497.63,1917497.63,0.0,1
TRANSFER,629958.0,629958.0,0.0,1
TRANSFER,343429.34,343429.34,0.0,1
CASH_IN,29662.91,13010243.95,13039906.86,0
PAYMENT,5598.56,71581.0,65982.44,0
CASH_OUT,1638865.05,1638865.05,0.0,1
CASH_OUT,3551022.86,3551022.86,0.0,1
CASH_OUT,39299.22,0.0,0.0,0
TRANSFER,1155128.91,1155128.91,0.0,1
CASH_OUT,176841.5,558793.0,381951.5,0
CASH_IN,55787.93,3076521.36,3132309.29,0
TRANSFER,967153.5,967153.5,0.0,1
CASH_OUT,441445.58,441445.58,0.0,1
CASH_IN,78545.37,21200.0,99745.37,0
CASH_OUT,31041.35,0.0,0.0,0
CASH_OUT,223970.05,24809.57,0.0,0
TRANSFER,1232239.39,1232239.39,0.0,1
TRANSFER,364189.35,0.0,0.0,0
CASH_OUT,660746.19,660746.19,0.0,1
CASH_IN,22386.95,7984672.79,8007059.74,0
TRANSFER,181224.98,181224.98,0.0,1
CASH_OUT,144042.77,0.0,0.0,0
TRANSFER,4961093.21,4961093.21,0.0,1
CASH_OUT,296940.32,296940.32,0.0,1
CASH_OUT,30674.98,30674.98,0.0,1
TRANSFER,408724.54,408724.54,0.0,1
CASH_OUT,37070.24,0.0,0.0,0
CASH_IN,60941.06,1624878.04,1685819.11,0
TRANSFER,39247.74,39247.74,0.0,1
CASH_OUT,1828.6,1828.6,0.0,1
PAYMENT,22087.25,8666.33,0.0,0
CASH_OUT,448004.86,448004.86,0.0,1
CASH_OUT,565346.12,565346.12,0.0,1
CASH_OUT,34761.97,0.0,0.0,0
PAYMENT,4970.7,43104.0,38133.3,0
PAYMENT,42114.16,0.0,0.0,0
PAYMENT,15465.48,32081.0,16615.52,0
CASH_OUT,337810.17,337810.17,0.0,1
CASH_OUT,89846.18,89846.18,0.0,1
TRANSFER,339682.13,339682.13,0.0,1
TRANSFER,340198.41,340198.41,0.0,1
TRANSFER,37720.99,37720.99,0.0,1
CASH_OUT,140608.84,0.0,0.0,0
TRANSFER,82112.74,82112.74,0.0,1
CASH_IN,301526.72,4141126.56,4442653.28,0
CASH_OUT,2189170.39,2189170.39,0.0,1
CASH_OUT,3178915.22,3178915.22,0.0,1
CASH_OUT,450404.28,32204.0,0.0,0
CASH_OUT,387952.42,387952.42,0.0,1
TRANSFER,159724.42,159724.42,0.0,1
TRANSFER,3846781.01,3846781.01,0.0,1
CASH_OUT,425289.66,0.0,0.0,0
TRANSFER,11481.0,11481.0,0.0,1
PAYMENT,7900.4,0.0,0.0,0
PAYMENT,49220.12,25250.0,0.0,0
PAYMENT,3209.68,0.0,0.0,0
PAYMENT,11102.28,267405.15,256302.87,0
CASH_OUT,2701644.17,2701644.17,0.0,1
CASH_OUT,396757.22,396757.22,0.0,1
CASH_OUT,2339743.18,2339743.18,0.0,1
CASH_OUT,1240717.75,1240717.75,0.0,1
CASH_OUT,155742.26,0.0,0.0,0
CASH_OUT,83998.45,726.0,0.0,0
CASH_OUT,116489.77,116489.77,0.0,1
TRANSFER,107834.85,107834.85,0.0,1
CASH_IN,12108.83,52138.0,64246.83,0
CASH_OUT,338257.0,0.0,0.0,0
TRANSFER,1676936.79,1676936.79,0.0,1
PAYMENT,12990.82,150429.56,137438.75,0
CASH_IN,52231.02,5929870.69,5982101.71,0
CASH_OUT,160599.7,0.0,0.0,0
CASH_OUT,400816.09,0.0,0.0,0
CASH_OUT,119041.12,119041.12,0.0,1
PAYMENT,26140.23,0.0,0.0,0
TRANSFER,72665.95,72665.95,0.0,1
CASH_OUT,170.0,170.0,0.0,1
TRANSFER,122235.11,122235.11,0.0,1
TRANSFER,692984.55,692984.55,0.0,1
CASH_OUT,892376.71,892376.71,0.0,1
PAYMENT,23683.18,0.0,0.0,0
CASH_OUT,2374490.77,2374490.77,0.0,1
CASH_OUT,10000000.0,10000000.0,0.0,1
PAYMENT,7932.17,39655.0,31722.83,0
TRANSFER,4737833.35,4737833.35,0.0,1
CASH_OUT,99793.9,99793.9,0.0,1
CASH_IN,17899.92,1777035.74,1794935.66,0
CASH_IN,198792.43,7305603.18,7504395.6,0
PAYMENT,4907.75,75815.0,70907.25,0
CASH_IN,45213.01,576831.64,622044.65,0
CASH_OUT,124406.93,20677.0,0.0,0
CASH_OUT,272716.64,272716.64,0.0,1
TRANSFER,262434.54,262434.54,0.0,1
TRANSFER,5674547.89,5674547.89,5674547.89,1
TRANSFER,2142164.0,2142164.0,0.0,1
PAYMENT,824.43,188617.75,187793.32,0
CASH_OUT,1396824.94,1396824.94,0.0,1
CASH_OUT,14017.38,14017.38,0.0,1
TRANSFER,867995.18,49994.0,0.0,0
TRANSFER,546519.53,0.0,0.0,0
PAYMENT,3077.03,0.0,0.0,0
CASH_OUT,945131.71,945131.71,0.0,1
CASH_OUT,87167.88,87167.88,0.0,1
PAYMENT,20553.55,111955.12,91401.57,0
CASH_IN,47386.07,4416113.26,4463499.33,0
DEBIT,8303.45,516518.0,508214.55,0
TRANSFER,788855.1,788855.1,0.0,1
CASH_OUT,503420.67,503420.67,0.0,1
CASH_OUT,244312.69,244312.69,0.0,1
PAYMENT,2142.33,10173.0,8030.67,0
CASH_OUT,2040374.55,2040374.55,0.0,1
CASH_IN,182748.09,11668.0,194416.09,0
CASH_OUT,765104.94,765104.94,0.0,1
CASH_OUT,197305.15,0.0,0.0,0
CASH_OUT,97700.28,3388.0,0.0,0
PAYMENT,14485.26,0.0,0.0,0
CASH_OUT,192168.58,0.0,0.0,0
CASH_OUT,2081051.56,2081051.56,0.0,1
CASH_OUT,141508.56,141508.56,0.0,1
TRANSFER,38238.84,25742.0,0.0,0
CASH_OUT,6646879.72,6646879.72,0.0,1
CASH_OUT,4993938.87,4993938.87,0.0,1
TRANSFER,161536.55,161536.55,0.0,1
CASH_OUT,216928.73,194883.01,0.0,0
TRANSFER,362672.57,362672.57,0.0,1
CASH_OUT,24917.91,0.0,0.0,0
CASH_OUT,980310.0,980310.0,0.0,1
CASH_OUT,126107.23,19640.0,0.0,0
TRANSFER,168303.36,168303.36,0.0,1
CASH_IN,248773.02,5631904.49,5880677.5,0
CASH_IN,69981.43,51310.0,121291.43,0
CASH_OUT,1154353.99,1154353.99,0.0,1
CASH_OUT,128330.95,50348.0,0.0,0
CASH_OUT,376367.26,376367.26,0.0,1
PAYMENT,6018.85,39984.0,33965.15,0
PAYMENT,40101.01,104621.07,64520.06,0
TRANSFER,145482.09,145482.09,0.0,1
CASH_OUT,971133.63,971133.63,0.0,1
CASH_OUT,1591263.43,1591263.43,0.0,1
CASH_OUT,385153.37,0.0,0.0,0
CASH_OUT,145975.23,0.0,0.0,0
TRANSFER,355969.72,355969.72,0.0,1
CASH_OUT,1975271.77,1975271.77,0.0,1
CASH_IN,78891.96,1871784.3,1950676.26,0
CASH_OUT,19646.09,19646.09,0.0,1
CASH_OUT,94164.05,25464.0,0.0,0
TRANSFER,781183.07,781183.07,0.0,1
PAYMENT,2810.91,20648.0,17837.09,0
CASH_IN,336253.58,234.0,336487.58,0
CASH_OUT,49945.57,23354.98,0.0,0
TRANSFER,163353.64,163353.64,0.0,1
CASH_IN,257404.86,20752.0,278156.86,0
CASH_OUT,128417.96,128417.96,0.0,1
PAYMENT,15791.17,51384.0,35592.83,0
CASH_OUT,185728.99,0.0,0.0,0
TRANSFER,814689.88,814689.88,0.0,1
CASH_OUT,2230432.56,2230432.56,0.0,1
TRANSFER,127916.67,127916.67,0.0,1
CASH_OUT,1939519.45,1939519.45,0.0,1
TRANSFER,162381.37,428735.65,266354.28,0
CASH_OUT,40611.22,0.0,0.0,1
TRANSFER,615398.61,615398.61,0.0,1
CASH_IN,132266.23,50872.0,183138.23,0
CASH_IN,216475.35,241481.0,457956.35,0
CASH_OUT,300355.2,0.0,0.0,0
CASH_OUT,640648.06,640648.06,0.0,1
PAYMENT,10232.03,4088.0,0.0,0
CASH_OUT,175328.85,175328.85,0.0,1
TRANSFER,8838.19,8838.19,0.0,1
PAYMENT,10545.57,0.0,0.0,0
CASH_OUT,90326.65,5009.0,0.0,0
CASH_IN,317012.24,16876.0,333888.24,0
CASH_OUT,6417789.09,6417789.09,0.0,1
CASH_OUT,269698.24,90560.0,0.0,0
CASH_IN,140282.62,6152087.38,6292370.0,0
CASH_OUT,318089.69,14846.0,0.0,0
CASH_OUT,10000000.0,10000000.0,0.0,1
TRANSFER,7603589.38,7603589.38,0.0,1
CASH_OUT,447009.83,447009.83,0.0,1
CASH_OUT,1842.0,1842.0,0.0,1
TRANSFER,495773.64,495773.64,0.0,1
CASH_OUT,1820864.64,1820864.64,0.0,1
CASH_OUT,81913.31,0.0,0.0,0
TRANSFER,2025628.87,2025628.87,0.0,1
CASH_OUT,124202.04,124202.04,0.0,1
TRANSFER,8177.04,8177.04,0.0,1
DEBIT,202.27,20713.0,20510.73,0
CASH_OUT,2249574.01,2249574.01,0.0,1
CASH_OUT,9033760.73,9033760.73,0.0,1
CASH_IN,33088.62,5221482.72,5254571.34,0
CASH_OUT,91900.89,0.0,0.0,0
CASH_OUT,10000000.0,10000000.0,0.0,1
CASH_OUT,363803.21,0.0,0.0,0
TRANSFER,249365.63,249365.63,0.0,1
CASH_OUT,454161.62,0.0,0.0,0
CASH_OUT,96799.41,7067.0,0.0,0
CASH_OUT,350403.73,0.0,0.0,0
PAYMENT,9670.2,0.0,0.0,0
TRANSFER,1103824.04,0.0,0.0,0
TRANSFER,114483.78,114483.78,0.0,1
CASH_IN,134654.82,518753.0,653407.82,0
TRANSFER,7696836.35,7696836.35,0.0,1
TRANSFER,5087422.03,5087422.03,0.0,1
PAYMENT,2753.86,42166.97,39413.11,0
PAYMENT,36361.19,0.0,0.0,0
CASH_OUT,146729.67,146729.67,0.0,1
CASH_IN,359122.2,930.0,360052.2,0
CASH_OUT,3671853.86,3671853.86,0.0,1
TRANSFER,29707.86,29707.86,0.0,1
CASH_IN,187641.74,8086279.12,8273920.86,0
CASH_IN,68120.99,0.0,68120.99,0
CASH_OUT,798007.45,798007.45,0.0,1
CASH_IN,206029.94,84110.0,290139.94,0
CASH_OUT,142118.16,55424.0,0.0,0
CASH_OUT,360008.61,286.0,0.0,0
TRANSFER,633384.46,633384.46,0.0,1
TRANSFER,1155819.58,1155819.58,0.0,1
TRANSFER,278619.91,278619.91,0.0,1
TRANSFER,7476725.66,7476725.66,0.0,1
CASH_OUT,904124.58,904124.58,0.0,1
PAYMENT,20210.98,0.0,0.0,0
CASH_OUT,290211.26,290211.26,0.0,1
TRANSFER,1842163.57,1842163.57,0.0,1
CASH_OUT,24254.84,54231.0,29976.16,0
CASH_OUT,136903.9,136903.9,0.0,1
CASH_OUT,163055.53,109991.0,0.0,0
TRANSFER,671516.68,671516.68,0.0,1
PAYMENT,10980.31,310387.79,299407.48,0
TRANSFER,159094.64,159094.64,0.0,1
TRANSFER,21511.22,21511.22,0.0,1
CASH_IN,86508.31,12104423.17,12190931.48,0
TRANSFER,8116.53,8116.53,0.0,1
TRANSFER,70696.74,70696.74,0.0,1
CASH_OUT,697226.2,697226.2,0.0,1
TRANSFER,135100.36,135100.36,0.0,1
CASH_OUT,8536151.16,8536151.16,0.0,1
TRANSFER,19742.71,19742.71,0.0,1
CASH_OUT,25472.32,25472.32,0.0,1
CASH_OUT,14036.51,867.0,0.0,0
CASH_OUT,173778.02,0.0,0.0,0
CASH_IN,277116.23,222080.0,499196.23,0
TRANSFER,45890.12,45890.12,0.0,1
PAYMENT,2872.76,15285.79,12413.03,0
CASH_OUT,2232257.71,2232257.71,0.0,1
TRANSFER,44946.2,44946.2,0.0,1
TRANSFER,668273.94,668273.94,0.0,1
TRANSFER,120385.1,120385.1,0.0,1
TRANSFER,1328883.46,0.0,0.0,0
CASH_OUT,76133.19,76133.19,0.0,1
TRANSFER,179700.14,179700.14,0.0,1
TRANSFER,998110.47,998110.47,0.0,1
CASH_OUT,222665.79,0.0,0.0,0
CASH_IN,74595.59,10236939.6,10311535.19,0
CASH_OUT,161024.8,161024.8,0.0,1
CASH_IN,179104.22,176.0,179280.22,0
CASH_OUT,671406.79,671406.79,0.0,1
CASH_OUT,2068118.36,2068118.36,0.0,1
PAYMENT,32775.7,85903.08,53127.38,0
CASH_IN,237565.6,1133913.65,1371479.25,0
TRANSFER,82665.47,82665.47,0.0,1
CASH_IN,43865.38,14857.0,58722.38,0
PAYMENT,14473.32,0.0,0.0,0
CASH_OUT,26026.64,0.0,0.0,0
CASH_OUT,1172700.63,1172700.63,0.0,1
TRANSFER,3049753.79,3049753.79,0.0,1
CASH_IN,278084.67,6048345.34,6326430.01,0
CASH_IN,19802.59,3611208.26,3631010.85,0
PAYMENT,22375.04,36312.0,13936.96,0
CASH_OUT,138078.57,0.0,0.0,0
TRANSFER,20364.0,20364.0,0.0,1
TRANSFER,226804.13,226804.13,0.0,1
CASH_OUT,90383.88,0.0,0.0,0
TRANSFER,555731.98,555731.98,0.0,1
CASH_OUT,91637.51,91637.51,0.0,1
TRANSFER,766631.82,766631.82,0.0,1
TRANSFER,2233246.15,150228.8,0.0,0
CASH_OUT,166891.51,166891.51,0.0,1
CASH_OUT,2684142.41,2684142.41,0.0,1
TRANSFER,6910926.92,6910926.92,0.0,1
CASH_OUT,338062.05,338062.05,0.0,1
CASH_IN,154381.29,2928309.91,3082691.2,0
CASH_OUT,171935.25,171935.25,0.0,1
CASH_OUT,137989.91,52026.0,0.0,0
PAYMENT,1864.03,9398.05,7534.02,0
PAYMENT,9904.5,0.0,0.0,0
PAYMENT,8403.55,58166.0,49762.45,0
CASH_OUT,64843.61,600.0,0.0,0
CASH_OUT,10000000.0,10000000.0,0.0,1
TRANSFER,1820864.64,1820864.64,0.0,1
TRANSFER,1806516.34,1806516.34,0.0,1
CASH_OUT,48771.09,20317.0,0.0,0
CASH_OUT,2763025.35,2763025.35,0.0,1
CASH_OUT,40458.0,40458.0,0.0,1
CASH_OUT,422643.53,0.0,0.0,0
TRANSFER,4454632.3,4454632.3,0.0,1
PAYMENT,5458.93,12654.72,7195.79,0
PAYMENT,1355.48,130182.89,128827.41,0
TRANSFER,2093951.47,2093951.47,0.0,1
TRANSFER,38580.45,38580.45,0.0,1
TRANSFER,125216.91,125216.91,0.0,1
TRANSFER,537641.8,537641.8,0.0,1
CASH_OUT,287748.27,15452.0,0.0,0
PAYMENT,13549.13,4951.0,0.0,0
CASH_OUT,10000000.0,10000000.0,0.0,1
CASH_OUT,116259.74,0.0,0.0,0
CASH_OUT,238024.18,26043.0,0.0,0
CASH_OUT,220203.38,10787.0,0.0,0
CASH_OUT,108220.51,301081.0,192860.49,0
CASH_OUT,18223.25,33523.75,15300.5,0
PAYMENT,8873.17,10863.0,1989.83,0
CASH_IN,53716.38,2045.0,55761.38,0
CASH_OUT,6575903.12,6575903.12,0.0,1
PAYMENT,19238.03,31346.0,12107.97,0
PAYMENT,27378.13,3655.13,0.0,0
CASH_IN,110916.27,100104.0,211020.27,0
CASH_OUT,146386.78,15571.0,0.0,0
CASH_IN,67449.28,9498193.34,9565642.62,0
PAYMENT,33486.92,0.0,0.0,0
TRANSFER,501796.56,0.0,0.0,0
CASH_IN,241841.84,1727132.7,1968974.54,0
PAYMENT,6247.86,0.0,0.0,0
CASH_OUT,1200702.71,1200702.71,0.0,1
CASH_IN,174434.73,6212.0,180646.73,0
TRANSFER,3139714.3,0.0,0.0,0
TRANSFER,211186.03,211186.03,0.0,1
TRANSFER,342309.91,342309.91,0.0,1
CASH_OUT,1796406.6,1796406.6,0.0,1
CASH_OUT,105724.16,0.0,0.0,0
CASH_OUT,74549.12,52150.0,0.0,0
CASH_OUT,987591.59,987591.59,0.0,1
CASH_OUT,2115503.99,2115503.99,0.0,1
CASH_IN,8930.5,8737325.13,8746255.63,0
TRANSFER,3774777.76,3774777.76,0.0,1
TRANSFER,466218.08,466218.08,0.0,1
CASH_OUT,0.0,0.0,0.0,1
TRANSFER,1504870.33,1504870.33,0.0,1
TRANSFER,37133.63,37133.63,0.0,1
PAYMENT,15772.25,102642.0,86869.75,0
PAYMENT,7739.97,79864.0,72124.03,0
TRANSFER,242896.12,242896.12,0.0,1
CASH_IN,462515.82,65945.0,528460.82,0
PAYMENT,6638.41,24365.68,17727.27,0
PAYMENT,10094.37,21892.0,11797.63,0
CASH_OUT,123277.13,0.0,0.0,0
TRANSFER,395531.72,395531.72,0.0,1
CASH_OUT,124461.2,0.0,0.0,0
CASH_IN,17038.09,5724.0,22762.09,0
PAYMENT,9053.58,181196.78,172143.21,0
CASH_OUT,7188425.25,7188425.25,0.0,1
TRANSFER,325183.51,0.0,0.0,0
TRANSFER,9725837.08,9725837.08,0.0,1
CASH_OUT,28308.97,28308.97,0.0,1
TRANSFER,144065.75,144065.75,0.0,1
CASH_OUT,219934.26,219934.26,0.0,1
CASH_OUT,448266.86,448266.86,0.0,1
CASH_OUT,414394.38,414394.38,0.0,1
CASH_OUT,27667.36,116.0,0.0,0
TRANSFER,237567.35,237567.35,0.0,1
TRANSFER,1266539.33,90209.0,0.0,0
CASH_IN,125752.23,2120218.81,2245971.04,0
CASH_IN,147222.43,3918559.47,4065781.9,0
TRANSFER,1240717.75,1240717.75,0.0,1
CASH_OUT,228466.43,0.0,0.0,0
TRANSFER,13914.81,13914.81,0.0,1
CASH_IN,122038.48,5389743.48,5511781.96,0
PAYMENT,3502.07,0.0,0.0,0
CASH_OUT,45480.31,0.0,0.0,0
CASH_OUT,1650168.9,1650168.9,0.0,1
PAYMENT,5637.84,0.0,0.0,0
CASH_OUT,164783.97,0.0,0.0,0
TRANSFER,1593189.25,1593189.25,0.0,1
PAYMENT,55457.08,85233.13,29776.05,0
CASH_OUT,4104942.7,4104942.7,0.0,1
TRANSFER,2222544.0,2222544.0,0.0,1
CASH_OUT,763170.76,763170.76,0.0,1
TRANSFER,1312947.27,1312947.27,0.0,1
CASH_OUT,64344.59,64344.59,0.0,1
CASH_OUT,561948.38,561948.38,0.0,1
CASH_OUT,131843.56,10987.0,0.0,0
TRANSFER,16734.61,16734.61,0.0,1
CASH_OUT,106601.15,106601.15,0.0,1
CASH_OUT,54286.32,457475.0,403188.68,0
CASH_IN,125645.44,105554.0,231199.44,0
PAYMENT,6749.1,304606.0,297856.9,0
CASH_OUT,2371324.81,2371324.81,0.0,1
PAYMENT,27696.0,0.0,0.0,0
PAYMENT,8465.49,72438.0,63972.51,0
CASH_OUT,17428.0,17428.0,0.0,1
CASH_IN,118555.05,19.0,118574.05,0
CASH_OUT,190675.5,0.0,0.0,0
CASH_OUT,254440.83,254440.83,0.0,1
CASH_OUT,19776.71,19776.71,0.0,1
TRANSFER,856386.66,856386.66,0.0,1
CASH_OUT,19692.68,19692.68,0.0,1
TRANSFER,217264.87,0.0,0.0,0
PAYMENT,11463.63,0.0,0.0,0
CASH_OUT,983417.49,983417.49,0.0,1
TRANSFER,31374.02,31374.02,0.0,1
CASH_OUT,30514.47,0.0,0.0,0
CASH_OUT,0.0,0.0,0.0,1
PAYMENT,43845.76,0.0,0.0,0
PAYMENT,30401.93,517244.35,486842.42,0
TRANSFER,166456.54,166456.54,0.0,1
CASH_OUT,121481.17,10217.0,0.0,0
PAYMENT,2066.45,0.0,0.0,0
TRANSFER,690058.54,51172.0,0.0,0
PAYMENT,7031.7,0.0,0.0,0
TRANSFER,3731378.32,3731378.32,0.0,1
CASH_OUT,407347.84,407347.84,0.0,1
TRANSFER,10000000.0,33576297.1,23576297.1,1
PAYMENT,13209.2,0.0,0.0,0
CASH_OUT,178703.18,0.0,0.0,0
CASH_OUT,56290.17,56290.17,0.0,1
CASH_OUT,102945.99,102945.99,0.0,1
CASH_OUT,9749042.95,9749042.95,0.0,1
PAYMENT,7151.86,0.0,0.0,0
CASH_OUT,2983996.6,2983996.6,0.0,1
CASH_OUT,1018800.91,1018800.91,0.0,1
TRANSFER,10000000.0,18594065.09,8594065.09,1
CASH_OUT,35496.47,35496.47,0.0,1
TRANSFER,921393.95,921393.95,0.0,1
CASH_OUT,828720.89,828720.89,0.0,1
CASH_OUT,55976.6,0.0,0.0,0
TRANSFER,530733.43,530733.43,0.0,1
CASH_OUT,287720.41,287720.41,0.0,1
CASH_OUT,149378.86,0.0,0.0,0
TRANSFER,128936.95,128936.95,0.0,1
PAYMENT,34592.05,0.0,0.0,0
TRANSFER,298365.86,298365.86,0.0,1
CASH_OUT,2429711.09,2429711.09,0.0,1
CASH_OUT,3071270.72,3071270.72,0.0,1
CASH_OUT,69827.73,275840.72,206012.98,0
CASH_OUT,177344.53,177344.53,0.0,1
TRANSFER,1685692.11,1685692.11,0.0,1
CASH_OUT,7576324.61,7576324.61,0.0,1
CASH_IN,418354.17,7049.0,425403.17,0
CASH_IN,342406.83,9547307.51,9889714.34,0
CASH_OUT,321883.89,321883.89,0.0,1
PAYMENT,9057.28,167593.0,158535.72,0
PAYMENT,21892.31,0.0,0.0,0
CASH_OUT,20111.45,20111.45,0.0,1
CASH_OUT,3120690.98,3120690.98,0.0,1
TRANSFER,343634.12,0.0,0.0,0
CASH_OUT,171788.82,171788.82,0.0,1
CASH_OUT,20243.24,20243.24,0.0,1
